,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
74,2020-06-30,257.43803659757157,161.19456139882075,337.2429389156437,257.43803659757157,257.43803659757157,-2.4140343528610866,-2.4140343528610866,-2.4140343528610866,-2.4140343528610866,-2.4140343528610866,-2.4140343528610866,0.0,0.0,0.0,255.0240022447105
75,2020-07-01,259.3660718702004,161.20177174996428,333.9514256759027,259.3660718702004,259.3660718702004,-3.5074895391257392,-3.5074895391257392,-3.5074895391257392,-3.5074895391257392,-3.5074895391257392,-3.5074895391257392,0.0,0.0,0.0,255.85858233107467
76,2020-07-02,261.2941071428293,163.3911861437058,346.207173344729,261.2941071428293,261.2941071428293,-3.8556350999730284,-3.8556350999730284,-3.8556350999730284,-3.8556350999730284,-3.8556350999730284,-3.8556350999730284,0.0,0.0,0.0,257.4384720428563
77,2020-07-06,269.00624823334493,173.5698965614563,351.8200384969965,269.00624823334493,269.00624823334493,-5.87427887487047,-5.87427887487047,-5.87427887487047,-5.87427887487047,-5.87427887487047,-5.87427887487047,0.0,0.0,0.0,263.13196935847446
78,2020-07-07,270.93428350597384,177.5696946683733,360.75861106557574,270.93428350597384,270.93428350597384,-2.414034352853293,-2.414034352853293,-2.414034352853293,-2.414034352853293,-2.414034352853293,-2.414034352853293,0.0,0.0,0.0,268.5202491531205
79,2020-07-08,272.8623187786027,177.0403225904445,350.43168463767927,272.8623187786027,272.8623187786027,-3.5074895391269227,-3.5074895391269227,-3.5074895391269227,-3.5074895391269227,-3.5074895391269227,-3.5074895391269227,0.0,0.0,0.0,269.35482923947575
80,2020-07-09,274.7903540512316,181.14967993942824,358.6596584797985,274.7903540512316,274.7903540512316,-3.855635099971855,-3.855635099971855,-3.855635099971855,-3.855635099971855,-3.855635099971855,-3.855635099971855,0.0,0.0,0.0,270.93471895125975
81,2020-07-10,276.7260044629609,188.69619665029336,359.02330945935535,276.7260044629609,276.7260044629609,-7.761385437581936,-7.761385437581936,-7.761385437581936,-7.761385437581936,-7.761385437581936,-7.761385437581936,0.0,0.0,0.0,268.96461902537897
82,2020-07-13,282.5329556981488,191.7388810757295,359.62626381584295,282.5329556981488,282.5329556981488,-5.8742788748834185,-5.8742788748834185,-5.8742788748834185,-5.8742788748834185,-5.8742788748834185,-5.8742788748834185,0.0,0.0,0.0,276.65867682326535
83,2020-07-14,284.46860610987807,199.20238178763825,370.4397396157201,284.46860610987807,284.46860610987807,-2.414034352845498,-2.414034352845498,-2.414034352845498,-2.414034352845498,-2.414034352845498,-2.414034352845498,0.0,0.0,0.0,282.0545717570326
84,2020-07-15,286.4042565216074,200.8736589804,371.21148335912864,286.4042565216074,286.4042565216074,-3.5074895391281062,-3.5074895391281062,-3.5074895391281062,-3.5074895391281062,-3.5074895391281062,-3.5074895391281062,0.0,0.0,0.0,282.8967669824793
85,2020-07-16,288.3399069333367,196.239383661585,366.42246508702834,288.3399069333367,288.3399069333367,-3.85563509997068,-3.85563509997068,-3.85563509997068,-3.85563509997068,-3.85563509997068,-3.85563509997068,0.0,0.0,0.0,284.484271833366
86,2020-07-17,290.275557345066,196.73572205134417,364.10558335577025,290.275557345066,290.275557345066,-7.761385437636486,-7.761385437636486,-7.761385437636486,-7.761385437636486,-7.761385437636486,-7.761385437636486,0.0,0.0,0.0,282.5141719074295
87,2020-07-20,296.0825085802539,206.56253098096352,373.91845953886434,296.0825085802539,296.0825085802539,-5.874278874876464,-5.874278874876464,-5.874278874876464,-5.874278874876464,-5.874278874876464,-5.874278874876464,0.0,0.0,0.0,290.20822970537745
88,2020-07-21,298.0181589919831,210.2848937583945,379.6879409494079,298.0181589919831,298.0181589919831,-2.414034352837703,-2.414034352837703,-2.414034352837703,-2.414034352837703,-2.414034352837703,-2.414034352837703,0.0,0.0,0.0,295.6041246391454
89,2020-07-22,299.9538108220163,210.06686092364615,381.1034459718678,299.9538108220163,299.9538108220163,-3.5074895391232204,-3.5074895391232204,-3.5074895391232204,-3.5074895391232204,-3.5074895391232204,-3.5074895391232204,0.0,0.0,0.0,296.44632128289305
90,2020-07-23,301.8894626520494,203.68444212496138,385.70699395554635,301.8894626520494,301.8894626520494,-3.8556350999871936,-3.8556350999871936,-3.8556350999871936,-3.8556350999871936,-3.8556350999871936,-3.8556350999871936,0.0,0.0,0.0,298.03382755206223
91,2020-07-24,303.8251144820826,209.06218720379383,378.4072360826195,303.8251144820826,303.8251144820826,-7.761385437623387,-7.761385437623387,-7.761385437623387,-7.761385437623387,-7.761385437623387,-7.761385437623387,0.0,0.0,0.0,296.0637290444592
92,2020-07-27,309.63206997218197,219.99199417776552,389.7768289505751,309.63206997218197,309.63206997218197,-5.874278874909324,-5.874278874909324,-5.874278874909324,-5.874278874909324,-5.874278874909324,-5.874278874909324,0.0,0.0,0.0,303.7577910972726
93,2020-07-28,311.56772180221515,226.59181491926464,395.00137304245504,311.56772180221515,311.56772180221515,-2.414034352869786,-2.414034352869786,-2.414034352869786,-2.414034352869786,-2.414034352869786,-2.414034352869786,0.0,0.0,0.0,309.15368744934534
94,2020-07-29,313.50337363224827,227.47154794918225,392.36939427050504,313.50337363224827,313.50337363224827,-3.507489539126171,-3.507489539126171,-3.507489539126171,-3.507489539126171,-3.507489539126171,-3.507489539126171,0.0,0.0,0.0,309.9958840931221
95,2020-07-30,315.43902546228145,220.27175251860825,397.6489462871482,315.43902546228145,315.43902546228145,-3.8556350999860185,-3.8556350999860185,-3.8556350999860185,-3.8556350999860185,-3.8556350999860185,-3.8556350999860185,0.0,0.0,0.0,311.5833903622954
96,2020-07-31,317.3746772923146,223.87800172586745,403.1976333854318,317.3746772923146,317.3746772923146,-7.761385437610289,-7.761385437610289,-7.761385437610289,-7.761385437610289,-7.761385437610289,-7.761385437610289,0.0,0.0,0.0,309.6132918547043
97,2020-08-03,323.1816489514469,232.9297752373566,401.1950628870112,323.1816489514469,323.1816489514469,-5.8742788749023696,-5.8742788749023696,-5.8742788749023696,-5.8742788749023696,-5.8742788749023696,-5.8742788749023696,0.0,0.0,0.0,317.30737007654454
98,2020-08-04,325.1173061711577,235.0151934371188,412.24024427039035,325.1173061711577,325.1173061711577,-2.4140343528619908,-2.4140343528619908,-2.4140343528619908,-2.4140343528619908,-2.4140343528619908,-2.4140343528619908,0.0,0.0,0.0,322.70327181829566
